title,url
You can't cURL a Border,https://drobinin.com/posts/you-cant-curl-a-border/
What Is a Manifold?,https://www.quantamagazine.org/what-is-a-manifold-20251103/
Some software bloat is OK,https://waspdev.com/articles/2025-11-04/some-software-bloat-is-ok
Things you can do with diodes,https://lcamtuf.substack.com/p/things-you-can-do-with-diodes
My Truck Desk,https://www.theparisreview.org/blog/2025/10/29/truck-desk/
AI's Dial-Up Era,https://www.wreflection.com/p/ai-dial-up-era
Bloom filters are good for search that does not scale,https://notpeerreviewed.com/blog/bloom-filters/
When stick figures fought,https://animationobsessive.substack.com/p/when-stick-figures-fought
Reverse-engineered CUPS driver for Phomemo receipt/label printers,https://github.com/vivier/phomemo-tools
A friendly tour of process memory on Linux,https://www.0xkato.xyz/linux-process-memory/
Pain Points of OCaml,https://quamserena.com/2025-11-03/pain-points-of-ocaml
Lessons from interviews on deploying AI Agents in production,https://mmc.vc/research/state-of-agentic-ai-founders-edition/
Ask HN: Who is hiring? (November 2025),item?id=45800465
Learning to read Arthur Whitney's C to become smart (2024),https://needleful.net/blog/2024/01/arthur_whitney.html
Tenacity – a multi-track audio editor/recorder,https://tenacityaudio.org
Show HN: Yourshoesmells.com – Find the most smelly boulder gym,https://yourshoesmells.com
The Mack Super Pumper was a locomotive engined fire fighter (2018),https://bangshift.com/bangshiftxl/mack-super-pumper-system-locomotive-engine-powered-pumper-extinguish-hell-often/
Guideline has been acquired by Gusto,https://help.guideline.com/en/articles/12694322-guideline-has-joined-gusto-faqs-about-our-recent-acquisition
The Case That A.I. Is Thinking,https://www.newyorker.com/magazine/2025/11/10/the-case-that-ai-is-thinking
Inside an Isotemp OCXO107-10 Oven Controlled Crystal Oscillator,https://tomverbeure.github.io/2025/10/26/Inside-an-Isotemp-OCXO107-10.html
