comment,label
This is trash,toxic
Thanks for the content!,support
Worst video ever,toxic
Best tutorial I've seen,support
You sound horrible,toxic
You're amazing!,support
Clickbait title,toxic
Legend!,support
You're so dumb,toxic
Much appreciated!,support
Waste of time,toxic
So clear and helpful,support
Cringe content,toxic
Thanks for the content!,support
Stop making content,toxic
Much appreciated!,support
You're so dumb,toxic
Keep up the great work,support
You're such a loser,toxic
Legend!,support
Cringe content,toxic
Keep up the great work,support
Worst video ever,toxic
Best tutorial I've seen,support
Worst video ever,toxic
Thanks for the content!,support
You sound horrible,toxic
Awesome explanation,support
You're such a loser,toxic
Thanks for the content!,support
This is trash,toxic
You're amazing!,support
Can't believe people like this,toxic
This helped me a lot!,support
Stop making content,toxic
This helped me a lot!,support
Stop making content,toxic
Best tutorial I've seen,support
This is trash,toxic
You're amazing!,support
Worst video ever,toxic
Thanks for the content!,support
Waste of time,toxic
Much appreciated!,support
Worst video ever,toxic
You're amazing!,support
You're such a loser,toxic
Awesome explanation,support
Clickbait title,toxic
Best tutorial I've seen,support
Stop making content,toxic
Best tutorial I've seen,support
Cringe content,toxic
Keep up the great work,support
Can't believe people like this,toxic
Keep up the great work,support
Waste of time,toxic
You're amazing!,support
Waste of time,toxic
This helped me a lot!,support
Waste of time,toxic
Best tutorial I've seen,support
This is trash,toxic
This helped me a lot!,support
You sound horrible,toxic
Best tutorial I've seen,support
You're such a loser,toxic
Keep up the great work,support
Worst video ever,toxic
Best tutorial I've seen,support
Cringe content,toxic
Thanks for the content!,support
Stop making content,toxic
So clear and helpful,support
You're so dumb,toxic
Best tutorial I've seen,support
You're so dumb,toxic
Awesome explanation,support
Waste of time,toxic
Best tutorial I've seen,support
You're such a loser,toxic
This helped me a lot!,support
Clickbait title,toxic
Much appreciated!,support
You're such a loser,toxic
Much appreciated!,support
Can't believe people like this,toxic
This helped me a lot!,support
Worst video ever,toxic
Keep up the great work,support
This is trash,toxic
Keep up the great work,support
Cringe content,toxic
I learned a lot!,support
Cringe content,toxic
Best tutorial I've seen,support
You're such a loser,toxic
This helped me a lot!,support
Worst video ever,toxic
This helped me a lot!,support
